chain,n,different_weights,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
logical,3,7,0.1,0.25,Kolmogorov,347651,68471,1.379741516891444,,
logical,3,7,0.1,0.25,parallelGibbs (McMcPro),66141,58398,1.379741516891444,1.3840306459807514,0.0031086468275383083
logical,3,7,0.1,0.25,parallelGibbs,66503,58398,1.379741516891444,1.3840306459807514,0.0031086468275383083
logical,3,7,0.1,0.25,superGibbs (McMcPro),61073,58398,1.379741516891444,1.3840306459807514,0.0031086468275383083
logical,3,7,0.1,0.25,superGibbs,61302,58398,1.379741516891444,1.3840306459807514,0.0031086468275383083
logical,3,7,0.1,0.1,Kolmogorov,2041842,75570,1.379741516891444,,
logical,3,7,0.1,0.1,parallelGibbs (McMcPro),108351,58398,1.379741516891444,1.3807506211267915,0.0007313719439427935
logical,3,7,0.1,0.1,parallelGibbs,110597,58398,1.379741516891444,1.3790165848572256,-0.0005254114813125765
logical,3,7,0.1,0.1,superGibbs (McMcPro),85172,58398,1.379741516891444,1.3840306459807514,0.0031086468275383083
logical,3,7,0.1,0.1,superGibbs,86250,58398,1.379741516891444,1.3840306459807514,0.0031086468275383083
logical,3,7,0.1,0.075,Kolmogorov,3614503,76137,1.379741516891444,,
logical,3,7,0.1,0.075,parallelGibbs (McMcPro),147714,58398,1.379741516891444,1.381345534871831,0.0011625496230633914
logical,3,7,0.1,0.075,parallelGibbs,151701,58398,1.379741516891444,1.3793812426165497,-0.0002611172241203663
logical,3,7,0.1,0.075,superGibbs (McMcPro),106840,58398,1.379741516891444,1.3785190820358555,-0.00088598831058051
logical,3,7,0.1,0.075,superGibbs,108822,58398,1.379741516891444,1.3795061269913995,-0.00017060434665672197
logical,3,7,0.1,0.05,Kolmogorov,5638928,76868,1.379741516891444,,
logical,3,7,0.1,0.05,parallelGibbs (McMcPro),251762,58398,1.379741516891444,1.3790126975053747,-0.0005282289306705046
logical,3,7,0.1,0.05,parallelGibbs,265160,58398,1.379741516891444,1.3793527926483897,-0.0002817370052979884
logical,3,7,0.1,0.05,superGibbs (McMcPro),166797,58398,1.379741516891444,1.3804530172051104,0.000515676527056641
logical,3,7,0.1,0.05,superGibbs,171170,58398,1.379741516891444,1.381362061991768,0.0011745280405672798
logical,3,7,0.1,0.025,Kolmogorov,24817483,82675,1.379741516891444,,
logical,3,7,0.1,0.025,parallelGibbs (McMcPro),555523,58398,1.379741516891444,1.3796594551679886,-5.947615727341926e-05
logical,3,7,0.1,0.025,parallelGibbs,629100,58398,1.379741516891444,1.3794612170996043,-0.0002031538432438751
logical,3,7,0.1,0.025,superGibbs (McMcPro),488700,58398,1.379741516891444,1.380198561229143,0.00033125359504193597
logical,3,7,0.1,0.025,superGibbs,529902,58398,1.379741516891444,1.3792324455000977,-0.0003689614214792414
logical,3,7,0.1,0.01,Kolmogorov,171280983,102951,1.379741516891444,,
logical,3,7,0.1,0.01,parallelGibbs (McMcPro),1608052,58398,1.379741516891444,1.3796848312452032,-4.1084250598233396e-05
logical,3,7,0.1,0.01,parallelGibbs,1692040,58398,1.379741516891444,1.379997146931806,0.00018527386269995283
logical,3,7,0.1,0.01,superGibbs (McMcPro),1283366,58398,1.379741516891444,1.3799588584751625,0.00015752340641905782
logical,3,7,0.1,0.01,superGibbs,1495438,58398,1.379741516891444,1.3794226858172618,-0.0002310802931411171
logical,3,7,0.1,0.0075,Kolmogorov,403098330,97878,1.379741516891444,,
logical,3,7,0.1,0.0075,parallelGibbs (McMcPro),2317261,58398,1.379741516891444,1.3796709760466026,-5.112613049462755e-05
logical,3,7,0.1,0.0075,parallelGibbs,2297787,58398,1.379741516891444,1.3797211059272192,-1.4793324673467723e-05
