chain,n,different_weights,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
logical,3,7,0.1,0.25,Kolmogorov,352870,71530,1.379741516891444,,
logical,3,7,0.1,0.25,parallelGibbs (McMcPro),63456,55422,1.379741516891444,1.3840306459807517,0.0031086468275385304
logical,3,7,0.1,0.25,parallelGibbs,63821,55422,1.379741516891444,1.3840306459807517,0.0031086468275385304
logical,3,7,0.1,0.25,superGibbs (McMcPro),57941,55422,1.379741516891444,1.3840306459807514,0.0031086468275383083
logical,3,7,0.1,0.25,superGibbs,58135,55422,1.379741516891444,1.3840306459807514,0.0031086468275383083
logical,3,7,0.1,0.1,Kolmogorov,1803862,72286,1.379741516891444,,
logical,3,7,0.1,0.1,parallelGibbs (McMcPro),108220,55422,1.379741516891444,1.3822828611447053,0.0018418988065147524
logical,3,7,0.1,0.1,parallelGibbs,110438,55422,1.379741516891444,1.3779425377521919,-0.001303852292062091
logical,3,7,0.1,0.1,superGibbs (McMcPro),80635,55422,1.379741516891444,1.3840306459807514,0.0031086468275383083
logical,3,7,0.1,0.1,superGibbs,81686,55422,1.379741516891444,1.3840306459807514,0.0031086468275383083
logical,3,7,0.1,0.075,Kolmogorov,3704112,76930,1.379741516891444,,
logical,3,7,0.1,0.075,parallelGibbs (McMcPro),149768,55422,1.379741516891444,1.3798350097084138,6.776111019735076e-05
logical,3,7,0.1,0.075,parallelGibbs,153692,55422,1.379741516891444,1.38018198273227,0.0003192379408996082
logical,3,7,0.1,0.075,superGibbs (McMcPro),101040,55422,1.379741516891444,1.382566082961212,0.0020471704556168646
logical,3,7,0.1,0.075,superGibbs,102950,55422,1.379741516891444,1.380059510792163,0.00023047353205352117
logical,3,7,0.1,0.05,Kolmogorov,8317995,76503,1.379741516891444,,
logical,3,7,0.1,0.05,parallelGibbs (McMcPro),264437,55422,1.379741516891444,1.3799625260921309,0.0001601815977712029
