chain,n,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
Ising,3,0.0,0.25,Kolmogorov,2972834,1401074,1.0834766661594966,,
Ising,3,0.0,0.25,parallelGibbs,1091523,1084673,1.0834766661594966,1.0725081812542165,-0.01012341589612542
Ising,3,0.0,0.25,superGibbs,1088509,1084673,1.0834766661594966,1.0725081812542163,-0.010123415896125643
Ising,3,0.0,0.1,Kolmogorov,6211649,1580561,1.0834766661594966,,
Ising,3,0.0,0.1,parallelGibbs,1099469,1084673,1.0834766661594966,1.0725081812542165,-0.01012341589612542
Ising,3,0.0,0.1,superGibbs,1092345,1084673,1.0834766661594966,1.0725081812542163,-0.010123415896125643
Ising,3,0.0,0.075,Kolmogorov,9910276,1621840,1.0834766661594966,,
Ising,3,0.0,0.075,parallelGibbs,1106867,1084673,1.0834766661594966,1.0725081812542165,-0.01012341589612542
Ising,3,0.0,0.075,superGibbs,1094537,1084673,1.0834766661594966,1.0725081812542163,-0.010123415896125643
Ising,3,0.0,0.05,Kolmogorov,39869465,1775381,1.0834766661594966,,
Ising,3,0.0,0.05,parallelGibbs,1153995,1084673,1.0834766661594966,1.0725081812542165,-0.01012341589612542
Ising,3,0.0,0.05,superGibbs,1103853,1084673,1.0834766661594966,1.0725081812542163,-0.010123415896125643
Ising,3,0.0,0.025,Kolmogorov,163035343,1900423,1.0834766661594966,,
Ising,3,0.0,0.025,parallelGibbs,1380593,1084673,1.0834766661594966,1.0831616411002003,-0.0002907538935867926
Ising,3,0.0,0.025,superGibbs,1184409,1084673,1.0834766661594966,1.0725081812542163,-0.010123415896125643
Ising,3,0.0,0.01,Kolmogorov,1104089963,2151683,1.0834766661594966,,
Ising,3,0.0,0.01,parallelGibbs,3028977,1084673,1.0834766661594966,1.0834943528633414,1.632402837747904e-05
Ising,3,0.0,0.01,superGibbs,1808581,1084673,1.0834766661594966,1.0834664098278677,-9.466130604596223e-06
Ising,3,0.0,0.0075,Kolmogorov,2018067530,2202314,1.0834766661594966,,
Ising,3,0.0,0.0075,parallelGibbs,4268005,1084673,1.0834766661594966,1.0834558203847617,-1.9239708048957027e-05
Ising,3,0.0,0.0075,superGibbs,2396585,1084673,1.0834766661594966,1.08348763969092,1.0128073604454002e-05
Ising,3,0.0,0.005,Kolmogorov,4726843938,2335722,1.0834766661594966,,
Ising,3,0.0,0.005,parallelGibbs,5952831,1084673,1.0834766661594966,1.0834664182873512,-9.458322883570958e-06
Ising,3,0.0,0.005,superGibbs,3767133,1084673,1.0834766661594966,1.0835019528151444,2.3338440445996866e-05
Ising,3,0.0,0.0025,Kolmogorov,10120345682,2514182,1.0834766661594966,,
Ising,3,0.0,0.0025,parallelGibbs,11065671,1084673,1.0834766661594966,1.0834624147197962,-1.3153434813562015e-05
Ising,3,0.0,0.0025,superGibbs,6937039,1084673,1.0834766661594966,1.083501088210776,2.2540449686081487e-05
Ising,3,0.0,0.001,Kolmogorov,137761137004,2740228,1.0834766661594966,,
Ising,3,0.0,0.001,parallelGibbs,28040930,1084673,1.0834766661594966,1.083472453790212,-3.887826490411861e-06
